index,Player,Opp_Team,Opp_Team_W/L %,Opp_Winning_Record,Opp_Playoff_Team,Opp_Team_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
33,Lebron_James,Charlotte,0.439,No,No,36,4,4,157,46,84,11,24,24,33,3,32,38,6,4,13,6,127,0.548,0.458,0.727,0.645,33.5,129,108,9.7,39.2,31.8,8,9.5,2017
34,Lebron_James,Dallas,0.402,No,No,33,2,2,66,15,32,3,11,9,13,0,14,20,3,0,9,1,42,0.469,0.273,0.692,0.557,32.4,111,102,19.1,33.2,21,7,10,2017
35,Lebron_James,Denver,0.488,No,No,40,2,2,67,19,28,1,3,6,8,2,11,17,2,0,10,2,45,0.679,0.333,0.75,0.714,28.1,123,123,-3,33.7,22.5,5.5,8.5,2017
36,Lebron_James,Detroit,0.451,No,No,37,3,3,96,27,48,1,11,11,16,4,28,25,1,1,7,2,66,0.563,0.091,0.688,0.6,31.1,124,101,33.4,31.8,22,9.3,8.3,2017
37,Lebron_James,Golden State,0.817,Yes,Yes,67,2,2,75,18,40,5,12,10,17,7,21,6,3,1,11,3,51,0.45,0.417,0.588,0.537,31.6,95,113,-17.4,37.6,25.5,10.5,3,2017
38,Lebron_James,Houston,0.671,Yes,Yes,55,2,2,76,18,32,5,14,8,13,3,20,13,2,0,12,6,49,0.563,0.357,0.615,0.65,30.3,111,124,4,38,24.5,10,6.5,2017
39,Lebron_James,Indiana,0.512,Yes,Yes,42,3,3,123,37,62,8,17,15,24,5,25,24,4,2,9,8,97,0.597,0.471,0.625,0.668,31.5,133,119,6.8,40.8,32.3,8.3,8,2017
40,Lebron_James,LA Clippers,0.622,Yes,Yes,51,1,1,34,5,14,0,2,6,11,1,5,5,2,0,5,2,16,0.357,0,0.545,0.425,32.7,81,116,-30.3,33.6,16,5,5,2017
41,Lebron_James,LA Lakers,0.317,No,No,26,2,2,77,22,40,5,13,11,19,1,13,16,3,2,5,3,60,0.55,0.385,0.579,0.62,31.5,128,120,19.8,38.4,30,6.5,8,2017
42,Lebron_James,Memphis,0.524,Yes,Yes,43,1,1,36,9,17,0,4,5,8,1,6,8,3,0,6,1,23,0.529,0,0.625,0.56,32.3,102,87,12.3,36.5,23,6,8,2017
